"","topic","term","beta"
"248",8,"совьт",9.05208316237577e-38
"249",9,"совьт",1.49088678172635e-35
"250",10,"совьт",7.31039730357329e-56
"251",1,"честь",7.45245592271269e-27
"252",2,"честь",1.27722034492907e-20
"253",3,"честь",0.000489136100299291
"254",4,"честь",2.78805326936747e-05
"255",5,"честь",7.12890628441542e-25
"256",6,"честь",0.00181379328190352
"257",7,"честь",6.86150047412163e-49
"258",8,"честь",7.45925933616031e-51
"259",9,"честь",3.76777587885299e-26
"260",10,"честь",2.31755703526587e-22
"261",1,"чета",8.97533256177503e-296
"262",2,"чета",0.000716742150101833
"263",3,"чета",8.92887709647002e-05
"264",4,"чета",3.85529653405742e-301
"265",5,"чета",0.000110408398899168
"266",6,"чета",5.09036832102134e-47
"267",7,"чета",5.94748168376235e-07
"268",8,"чета",1.21778394435104e-302
"269",9,"чета",7.14801372184962e-301
"270",10,"чета",2.13714349056391e-296
"271",1,"maakonna",1.62514028594464e-304
"272",2,"maakonna",3.72007597602084e-44
"273",3,"maakonna",3.72007597602084e-44
"274",4,"maakonna",2.95599475906818e-320
"275",5,"maakonna",1.04135378025292e-40
"276",6,"maakonna",0.000110155280645961
"277",7,"maakonna",1.11781585088284e-08
"278",8,"maakonna",8.00463614264247e-206
"279",9,"maakonna",0
"280",10,"maakonna",0.00362799481926193
"281",1,"бюро",0.00815187829927047
"282",2,"бюро",1.11199302229567e-20
"283",3,"бюро",5.25787756285885e-14
"284",4,"бюро",0.0166624064495403
"285",5,"бюро",0.00999502902782409
"286",6,"бюро",2.06926506358155e-12
"287",7,"бюро",0.00953632419014965
"288",8,"бюро",1.17632075172713e-17
"289",9,"бюро",5.98512081127942e-14
"290",10,"бюро",9.60235286799405e-22
"291",1,"гож",1.51102117621536e-55
"292",2,"гож",9.20603530593344e-56
"293",3,"гож",1.13535544257703e-55
"294",4,"гож",0.00116786874003801
"295",5,"гож",1.33798932135806e-55
"296",6,"гож",1.52129531440877e-55
"297",7,"гож",1.51323203012601e-55
"298",8,"гож",3.72007597602084e-44
"299",9,"гож",1.27212855766288e-55
"300",10,"гож",3.72007597602084e-44
"301",1,"проф",1.91659316950513e-38
"302",2,"проф",1.13188742003167e-19
"303",3,"проф",5.25896377389475e-12
"304",4,"проф",0.000358281111491306
"305",5,"проф",7.13475183451608e-12
"306",6,"проф",1.39083104439352e-15
"307",7,"проф",0.00206212462900701
"308",8,"проф",0.000159370629477451
"309",9,"проф",0.000187274311164945
"310",10,"проф",1.41462432943557e-50
"311",1,"собрашя",2.79008168556026e-47
"312",2,"собрашя",5.57114501036311e-27
"313",3,"собрашя",5.10909253444926e-69
"314",4,"собрашя",3.73562831295375e-45
"315",5,"собрашя",6.11937592038626e-20
"316",6,"собрашя",7.45499374775176e-58
"317",7,"собрашя",0.00166195204111315
"318",8,"собрашя",0.000142691043290104
"319",9,"собрашя",6.15552580520078e-183
"320",10,"собрашя",0.000159507949769162
"321",1,"труд",0.00134826969913428
"322",2,"труд",0.00042253787587258
"323",3,"труд",2.61465429188488e-11
"324",4,"труд",0.0283410974383689
"325",5,"труд",5.89065950835041e-19
"326",6,"труд",8.23603000596881e-20
"327",7,"труд",0.0136755852384134
"328",8,"труд",6.40433251772559e-07
"329",9,"труд",0.00405956963543053
"330",10,"труд",6.35827318286181e-32
"331",1,"фунт",0.00224806468305159
"332",2,"фунт",1.83780888729548e-38
"333",3,"фунт",3.58632486255714e-15
"334",4,"фунт",2.55586140000287e-14
"335",5,"фунт",0.00292193796521679
"336",6,"фунт",3.53751169013566e-25
"337",7,"фунт",9.7806087674382e-22
"338",8,"фунт",2.30969276149753e-12
"339",9,"фунт",4.22254289880768e-34
"340",10,"фунт",0.00163891886195415
"341",1,"царь",2.99773747309087e-23
"342",2,"царь",0.0097448325792607
"343",3,"царь",0.00017687803270551
"344",4,"царь",3.11301805348771e-15
"345",5,"царь",0.00384957729166343
"346",6,"царь",5.33433053976038e-28
"347",7,"царь",1.12103281288444e-27
"348",8,"царь",7.20290503039648e-17
"349",9,"царь",2.92032138750367e-11
"350",10,"царь",2.27299294701449e-52
"351",1,"город",0.000258913819495433
"352",2,"город",6.55475601321574e-07
"353",3,"город",0.00491306304450907
"354",4,"город",0.00382434882476136
"355",5,"город",0.00157655342179293
"356",6,"город",1.04778212549026e-05
"357",7,"город",0.0115177265723393
"358",8,"город",0.000539732387901996
"359",9,"город",0.00535361983040335
"360",10,"город",0.00267703141976807
"361",1,"избирательный",3.02717099811291e-23
"362",2,"избирательный",9.15458256137609e-40
"363",3,"избирательный",5.34588517093054e-60
"364",4,"избирательный",7.061618879192e-45
"365",5,"избирательный",5.18497251634442e-14
"366",6,"избирательный",2.67534016100989e-35
"367",7,"избирательный",0.0154048062451913
"368",8,"избирательный",2.07111142443233e-38
"369",9,"избирательный",7.52496038013014e-41
"370",10,"избирательный",2.25380984896224e-23
"371",1,"ода",1.21051566576245e-19
"372",2,"ода",1.76303400946478e-08
"373",3,"ода",2.79059024995705e-08
"374",4,"ода",3.74264286857688e-08
"375",5,"ода",0.000157013290485749
"376",6,"ода",0.00146818790439983
"377",7,"ода",0.000132280853705352
"378",8,"ода",4.02100584996104e-13
"379",9,"ода",0.0139564617798689
"380",10,"ода",2.31686793882174e-27
"381",1,"пуд",0.00114027441229867
"382",2,"пуд",4.73725605197767e-32
"383",3,"пуд",4.28249896979714e-15
"384",4,"пуд",2.00489162285888e-11
"385",5,"пуд",0.0012103576165177
"386",6,"пуд",1.02783608615811e-08
"387",7,"пуд",0.000290979990346734
"388",8,"пуд",0.000872363627353787
"389",9,"пуд",0.00640111958033358
"390",10,"пуд",1.82540292762867e-10
"391",1,"работа",0.00673940221616235
"392",2,"работа",0.00168991607838931
"393",3,"работа",0.00543024777810423
"394",4,"работа",0.00854505684648102
"395",5,"работа",0.00390345014003744
"396",6,"работа",0.00058448579659813
"397",7,"работа",0.00712146680045781
"398",8,"работа",0.00204103245102943
"399",9,"работа",0.00216480850373141
"400",10,"работа",0.0013939933646834
"401",1,"судно",0.00041551771938049
"402",2,"судно",0.00259404066855326
"403",3,"судно",4.95541805887239e-14
"404",4,"судно",6.35949550746758e-05
"405",5,"судно",5.75256214873988e-38
"406",6,"судно",0.0020515244951713
"407",7,"судно",0.00101364971744435
"408",8,"судно",2.17417589743841e-19
"409",9,"судно",1.5167945390593e-11
"410",10,"судно",0.025201187214309
"411",1,"продаваться",4.57351085191451e-87
"412",2,"продаваться",8.16330657925512e-46
"413",3,"продаваться",1.3483761378471e-81
"414",4,"продаваться",1.53782828101357e-77
"415",5,"продаваться",0.0417250035086675
"416",6,"продаваться",6.90641468548237e-57
"417",7,"продаваться",1.79803841629781e-30
"418",8,"продаваться",2.70363484458909e-23
"419",9,"продаваться",1.68011751873011e-62
"420",10,"продаваться",9.04991867330846e-38
"421",1,"эта",1.71975457499024e-74
"422",2,"эта",7.88199426348777e-33
"423",3,"эта",1.35818428782564e-34
"424",4,"эта",3.15981305013121e-62
"425",5,"эта",4.87463698713627e-64
"426",6,"эта",1.93629880405497e-308
"427",7,"эта",3.0162867527648e-50
"428",8,"эта",7.16048553642881e-30
"429",9,"эта",0.00225520717109908
"430",10,"эта",2.499816127856e-284
"431",1,"вата",6.33063454273813e-30
"432",2,"вата",6.59237826721085e-09
"433",3,"вата",5.41342415437218e-298
"434",4,"вата",1.09223793077859e-311
"435",5,"вата",3.40386091924558e-316
"436",6,"вата",8.99489359703804e-314
"437",7,"вата",3.94422478931117e-36
"438",8,"вата",0.00162969700080441
"439",9,"вата",3.58870713696002e-53
"440",10,"вата",5.96813511225852e-309
"441",1,"верша",3.38701641607773e-13
"442",2,"верша",0
"443",3,"верша",8.39911597930119e-322
"444",4,"верша",1.04015698387102e-20
"445",5,"верша",3.56997878603335e-100
"446",6,"верша",1.19455191851497e-319
"447",7,"верша",7.5904418657787e-76
"448",8,"верша",0.00321285570242789
"449",9,"верша",5.52753710646833e-43
"450",10,"верша",6.86498808611224e-19
"451",1,"волость",1.60707856226382e-10
"452",2,"волость",4.2486987102956e-27
"453",3,"волость",2.32630658775838e-43
"454",4,"волость",9.06094837994808e-24
"455",5,"волость",4.89150182781665e-47
"456",6,"волость",2.28547599428682e-05
"457",7,"волость",0.00264320022106672
"458",8,"волость",3.78409151683787e-24
"459",9,"волость",5.24473171477082e-19
"460",10,"волость",0.00855439468510809
"461",1,"комисс",2.11294644012446e-17
"462",2,"комисс",1.61030741063517e-210
"463",3,"комисс",2.73942943836096e-38
"464",4,"комисс",1.09693889791079e-258
"465",5,"комисс",4.37954671377223e-23
"466",6,"комисс",7.12934965231055e-281
"467",7,"комисс",0.00300609017785498
"468",8,"комисс",0.000188209615376509
"469",9,"комисс",4.2882912778935e-102
"470",10,"комисс",3.04594857216453e-299
"471",1,"нечетна",3.72007597602084e-44
"472",2,"нечетна",0.000519221825308931
"473",3,"нечетна",2.15255968473114e-55
"474",4,"нечетна",3.72007597602084e-44
"475",5,"нечетна",3.72007597602084e-44
"476",6,"нечетна",3.72007597602084e-44
"477",7,"нечетна",9.92235657730407e-08
"478",8,"нечетна",3.72007597602084e-44
"479",9,"нечетна",2.41187263108249e-55
"480",10,"нечетна",3.72007597602084e-44
"481",1,"ота",5.31606390464121e-51
"482",2,"ота",4.47386903408983e-25
"483",3,"ота",2.51251609223736e-17
"484",4,"ота",2.81043298290644e-44
"485",5,"ота",0.00743934170960468
"486",6,"ота",2.29629400814249e-15
"487",7,"ота",4.59169613899687e-65
"488",8,"ота",1.60781041904298e-12
"489",9,"ота",7.14404718683974e-26
"490",10,"ота",2.32079310524562e-65
"491",1,"театр",0.00191318243866991
"492",2,"театр",8.42565799839696e-19
"493",3,"театр",1.84540440564596e-22
"494",4,"театр",0.000132296720543416
"495",5,"театр",0.017064976089112
"496",6,"театр",2.51595845549969e-17
"497",7,"театр",2.45615462875666e-08
"498",8,"театр",0.00220283772979969
"499",9,"театр",3.52451427992151e-19
"500",10,"театр",1.29015731289617e-27
"501",1,"чай",5.01784251186322e-18
"502",2,"чай",1.06178031497219e-24
"503",3,"чай",5.03644717221046e-25
"504",4,"чай",1.27995954408324e-09
"505",5,"чай",0.016352175219535
"506",6,"чай",4.12534794823685e-26
"507",7,"чай",7.56878314316169e-17
"508",8,"чай",6.39141247793098e-28
"509",9,"чай",5.00919755178724e-31
"510",10,"чай",8.66316817046238e-11
"511",1,"авг",2.32976976471249e-12
"512",2,"авг",2.3231295538205e-34
"513",3,"авг",3.61160348011159e-18
"514",4,"авг",1.29148351848624e-14
"515",5,"авг",0.00104708260062001
"516",6,"авг",0.0091405095470924
"517",7,"авг",0.00106392728041975
"518",8,"авг",7.42886323398768e-48
"519",9,"авг",9.93120341831964e-36
"520",10,"авг",1.39016176254252e-31
"521",1,"акца",4.09003253975178e-15
"522",2,"акца",1.77863632502849e-322
"523",3,"акца",4.33601366080233e-125
"524",4,"акца",8.01467442937211e-311
"525",5,"акца",0.0026594748144991
"526",6,"акца",3.62079562623732e-15
"527",7,"акца",3.17605104192596e-17
"528",8,"акца",2.90079251174683e-69
"529",9,"акца",9.18242707001954e-312
"530",10,"акца",5.3081061510994e-304
"531",1,"обязательство",3.40178109219732e-212
"532",2,"обязательство",5.16288892212497e-299
"533",3,"обязательство",1.01672501372183e-72
"534",4,"обязательство",2.4194516132077e-30
"535",5,"обязательство",4.74628109867513e-08
"536",6,"обязательство",0.00121860394753997
"537",7,"обязательство",5.32671387275892e-306
"538",8,"обязательство",0.000286755134389999
"539",9,"обязательство",3.06177274162984e-306
"540",10,"обязательство",9.53204515663248e-07
"541",1,"рабочнх",3.26503656160916e-11
"542",2,"рабочнх",2.68057663901747e-45
"543",3,"рабочнх",2.25379527040441e-09
"544",4,"рабочнх",4.08395780868159e-09
"545",5,"рабочнх",9.23642601790623e-56
"546",6,"рабочнх",1.18005313785511e-21
"547",7,"рабочнх",0.00987695375685603
"548",8,"рабочнх",1.5330479444978e-16
"549",9,"рабочнх",7.53162905357605e-35
"550",10,"рабочнх",9.90135972555937e-49
"551",1,"старость",3.62595568494203e-16
"552",2,"старость",3.56145163411764e-34
"553",3,"старость",3.87930359381602e-22
"554",4,"старость",1.71049360729302e-16
"555",5,"старость",4.26945006807437e-40
"556",6,"старость",7.79499632270041e-17
"557",7,"старость",0.00711303718448159
"558",8,"старость",1.99267838503586e-48
"559",9,"старость",2.36641426683507e-56
"560",10,"старость",2.88522188705976e-39
"561",1,"торговля",3.51658952514926e-49
"562",2,"торговля",6.03473204437093e-09
"563",3,"торговля",5.14384741473695e-14
"564",4,"торговля",3.34978928564756e-30
"565",5,"торговля",2.94719129508227e-13
"566",6,"торговля",0.000290724615571301
"567",7,"торговля",2.7969912422263e-07
"568",8,"торговля",0.000517143807444177
"569",9,"торговля",0.00051247149082992
"570",10,"торговля",0.00752643238602582
"571",1,"участок",3.76269718905864e-13
"572",2,"участок",1.72698346637205e-29
"573",3,"участок",1.26554490646746e-28
"574",4,"участок",8.91880185605842e-17
"575",5,"участок",0.0026587882069386
"576",6,"участок",0.000520284446113635
"577",7,"участок",0.00944298992185765
"578",8,"участок",2.03046631212855e-36
"579",9,"участок",1.32958472885733e-25
"580",10,"участок",0.00617526753201983
"581",1,"чго",0.000142771039904515
"582",2,"чго",0.00323513122942858
"583",3,"чго",0.00259233952183629
"584",4,"чго",0.0025144737060734
"585",5,"чго",7.16621954250193e-32
"586",6,"чго",9.23008491291624e-05
"587",7,"чго",2.57146756694162e-25
"588",8,"чго",0.000731715753847599
"589",9,"чго",1.76774034598835e-14
"590",10,"чго",2.93388752778996e-31
"591",1,"штува",3.72007597602084e-44
"592",2,"штува",3.72007597602084e-44
"593",3,"штува",3.72007597602084e-44
"594",4,"штува",0
"595",5,"штува",3.72007597602084e-44
"596",6,"штува",3.72007597602084e-44
"597",7,"штува",3.72007597602084e-44
"598",8,"штува",0
"599",9,"штува",0.000683396112454267
"600",10,"штува",0
"601",1,"walla",1.22113289213123e-80
"602",2,"walla",1.04383599433536e-285
"603",3,"walla",1.30196917908616e-166
"604",4,"walla",1.07189835134524e-181
"605",5,"walla",1.9333591313234e-76
"606",6,"walla",2.7121751910328e-65
"607",7,"walla",1.01232192701851e-115
"608",8,"walla",8.25380251079137e-119
"609",9,"walla",1.10228688061283e-55
"610",10,"walla",0.0119879251410676
"611",1,"блок",6.90388920477724e-16
"612",2,"блок",0.000974980141275456
"613",3,"блок",0.000205349686681433
"614",4,"блок",5.13434031620639e-18
"615",5,"блок",2.97356327897009e-299
"616",6,"блок",1.73581793547674e-19
"617",7,"блок",1.56755360174351e-17
"618",8,"блок",1.60904559506989e-07
"619",9,"блок",0.000506883994786346
"620",10,"блок",1.07816855749901e-12
"621",1,"выборы",1.02415752486514e-11
"622",2,"выборы",7.34229401404469e-32
"623",3,"выборы",7.37107115359564e-28
"624",4,"выборы",2.02531308656492e-18
"625",5,"выборы",5.62341842712893e-22
"626",6,"выборы",7.33459748343954e-33
"627",7,"выборы",0.033331031438145
"628",8,"выборы",4.66583642304915e-21
"629",9,"выборы",0.00267568848527395
"630",10,"выборы",0.000139280729101656
"631",1,"ген",3.55832616661623e-36
"632",2,"ген",1.13969208042016e-16
"633",3,"ген",0.00200009708947723
"634",4,"ген",3.75849118382722e-13
"635",5,"ген",6.84022312311391e-40
"636",6,"ген",0.000530316970779346
"637",7,"ген",4.93678404959043e-29
"638",8,"ген",0.00579408262877827
"639",9,"ген",4.89183101636177e-08
"640",10,"ген",4.01942878727145e-49
"641",1,"дед",0.000284105783014846
"642",2,"дед",5.46001601642849e-79
"643",3,"дед",3.72007597602084e-44
"644",4,"дед",0.000924562752531906
"645",5,"дед",7.57367025787307e-69
"646",6,"дед",3.72007597602084e-44
"647",7,"дед",8.55771973061522e-24
"648",8,"дед",0
"649",9,"дед",5.62030140644931e-297
"650",10,"дед",9.88131291682493e-323
"651",1,"малый",3.01037510722889e-47
"652",2,"малый",3.93134532430138e-07
"653",3,"малый",7.46040161853609e-23
"654",4,"малый",9.89617610700599e-28
"655",5,"малый",0.000110629639301958
"656",6,"малый",2.19457979314938e-05
"657",7,"малый",0.00108957833972581
"658",8,"малый",0.000343099055609656
"659",9,"малый",0.000484996316640548
"660",10,"малый",5.62075357522016e-161
"661",1,"милюкова",5.53780999752691e-43
"662",2,"милюкова",0.000223312822453397
"663",3,"милюкова",0.00124938967344008
"664",4,"милюкова",3.90694618570992e-47
"665",5,"милюкова",2.95370662902684e-61
"666",6,"милюкова",1.55369396653022e-42
"667",7,"милюкова",2.56252208469744e-64
"668",8,"милюкова",1.59229983248745e-14
"669",9,"милюкова",3.35767464329485e-09
"670",10,"милюкова",5.61386029895582e-09
"671",1,"нужно",1.10482963260504e-18
"672",2,"нужно",0.0102304208478467
"673",3,"нужно",8.0394508544853e-08
"674",4,"нужно",2.41544893328744e-07
"675",5,"нужно",2.98411663288105e-39
"676",6,"нужно",2.30849773922202e-27
"677",7,"нужно",6.47596601723977e-26
"678",8,"нужно",0.000268699328044074
"679",9,"нужно",0.0176145019281689
"680",10,"нужно",3.4058334331259e-47
"681",1,"перес",3.72007597602084e-44
"682",2,"перес",9.63576356573817e-56
"683",3,"перес",1.18835267271079e-55
"684",4,"перес",3.72007597602084e-44
"685",5,"перес",1.40044536140344e-55
"686",6,"перес",1.59230789390844e-55
"687",7,"перес",1.51003687564587e-62
"688",8,"перес",0.00344567133345535
"689",9,"перес",1.3315402640899e-55
"690",10,"перес",3.27324925199109e-37
"691",1,"против",0.0109045138656018
"692",2,"против",0.00329302115455328
"693",3,"против",0.0122553153355984
"694",4,"против",0.0123936028347717
"695",5,"против",3.4977324773058e-20
"696",6,"против",0.0031913814288207
"697",7,"против",0.00195022385717129
"698",8,"против",0.00971785478504829
"699",9,"против",5.92051051123112e-08
"700",10,"против",0.000566009368666806
"701",1,"komitee",0
"702",2,"komitee",3.72007597602084e-44
"703",3,"komitee",3.24571792302699e-70
"704",4,"komitee",0
"705",5,"komitee",3.72007597602084e-44
"706",6,"komitee",3.72007597602084e-44
"707",7,"komitee",0.0012899707086263
