"","keyid","section_id","text","lang_cln","lang"
"11","livzeitung","livzeitung19020424.2.11","11. Съ 10 час. вечера до 12 час. ночи: отъ Гагенсбергской пристани до Плескодаль или обратно 15 коп., отъ Гагенбергской пристани до аптеки Бендорфа (Калънецймская ул. № 62) или обратно 10 коп. Прим!зчанlе. Д!?ти моложе 10 л!?тъ платятъ вместо 15 коп. 10 коп. и вмФсто 10 коп. 6 коп. N 1 288. 2 г. Рига, апрйля 5 дня 1902 года.  Губернаторъ, генералъ-маlоръ Пашновъ ","bulgarian","bulgarian-iso8859_5"
"12","ekmteataja","ekmteataja18950831.2.1","Эстляндские губернские ведомости  JU° 34.  ЧЕТВЕРТЬ, 31 АВГУСТА 189 S Г.  Ns 34.  ЧЕТВЕРТЬ, 31 АВГУСТА 1893 Г.  XLIII O  годъ. ","bulgarian","bulgarian-iso8859_5"
"13","livzeitung","livzeitung19031027.2.50","Став Отправлешя. ц i в: Нааначен1я. накладных^ Время отправления. Отправитель. Получатель. Родъ товара. ВЪсъ. II. Ф. Цвинскъ Модонъ 5043 15 сентября Хаймъ ВалПредъявит. Веревки . . . 5 05 1903 г. лерн!тейнъ дубликата Шпагать пеньковый .... 2 20 Рига тов. Модонъ 92243 13 сентября Отокаръ Предъявит. Кондяторемя то1903 г. Войта дубликата варъ .... 8 01 Рига тов. Модокъ 92617 13 сентября Шааръ иКаПредъявит. Впно виноградное 7 — 1903 г. внцель дубликата Правлен1е . ","bulgarian","bulgarian-iso8859_5"
"14","livzeitung","livzeitung19090504.2.1","(Црибавлеше къ Лифл. Губ. В4д, № 47 отъ 4 мая 1909 г.) ","bulgarian","bulgarian-iso8859_5"
"15","livzeitung","livzeitung18920221.2.25","ведомость о капиталахъ, долгахъ и недоимкахъ г. Лемзаля  (Прибавление къ М2l Лим. Губ. В 4 д. 1892 г.} ","bulgarian","bulgarian-iso8859_5"
"16","ekmteataja","ekmteataja19010712.2.1","Эстляндские губернские ведомости  № 29.  ЧЕТВЕРГЪ, 12 НОЛЯ 1901 г.  №29.  ЧЕТВЕРГЬ, 12 (ЮЛЯ 1901 г.  XLIX-J  годъ. ","bulgarian","bulgarian-iso8859_5"
"17","ekmteataja","ekmteataja19170914.2.3.1","Maakonna-nõukogude kodukord.  Kubermangu ajalehes 7 - mal septembril № 30 -ea ilmunud „Ma-konna-noukogude kodukorras"""" leiduwad wead, mis järgmiselt tulewad lugeda: § 4. Pärast juhatuse walimist otsustab inaakonna-nõukogu 1917 a. 30. märtsi seaduse 111 jao § 11 põhjal, mis keeles maakonna- omawalitsuse asjaajamine sünnib. § 5. Maakonna - nõukogu ajab kõiki maakonna - omawalitsusesse puutuvaid asju makswafee seaduste, selle kodukorra ja Eesti Ajutise Maanõukogu määruste põhjal. Esimees: A. .Wallner. Abi-Sekretär: H. Kask.  Прнаазомъ Эстляндскаго Губернскаго Кокмисара Старш!й Иаженеръ Эстляндекаго Губерскаго Правлен!« но дорожней части SL В. Бетани и делопроизводитель того-же Присутсвlя I. А. ЖуковшЙ, въ виду уаразднев&gt;я названнаго Присутствия съ Банцеяярlей и не ими новаго назначения, оставлены съ 6 Сентября за штатомъ на общшъ основанш. (384).  Приказомъ по 1 Отделу перевозки почтъ но дорогамъ отъ 2Д августа 1317 г. за № 17. Опредшаетея: Августъ Вахеръ —и, д. почтово-телбграфяаго чиновника 5 разряда въ штатъ Ревельскаго ж. д. почтового отд!Ёленl'я, съ 16 августа сего года. —__ (382).  Лостаногденземъ Управляющаго Зстляндскаго Казенною Палатою, кавцелярши служатедъ 2-гс разряда Везедбергскаго БазначеЁства Оскаръ Наберъ назиаченъ Вргалтеромъ 2-го разряда того-же Казначейства съ перваго сентября, с. г. (383). ","bulgarian","bulgarian-iso8859_5"
"18","ekmteataja","ekmteataja19010816.2.5","Примечание 22-ое.  При этоаъ M 34 Эсгз. Губ. В4д. с г. вел'Ьдсшс отношенШ *. 1) Ревельской Складочной Таможни отъ 4 Августа с. г. за .Ys 6371 а 2} Oajjyasнаго Инженернаго Унравдешя С.-Пегербургсваго военнаго округа отъ 8 Августа с. г, за JYS 5278, препровождаются въ Полнцейшя Управдешя Эстл. губ. при нредиисашн Эегл. Губ. Правл. отъ 16 Августа с. г. за Xs 934, npsöaßjreaie о торгажъ (объявлен!!! также напечатаны въ разрядахъ IX в XIII сего Ш 34 ст.сг, 633 и 639 кн. обадвлешй с. г.l ","bulgarian","bulgarian-iso8859_5"
"19","ekmteataja","ekmteataja19140724.2.2","Эстляндские губернские ведомости  JUH 30. ЧЕТВЕРГЬ,24IЮЛЯ WM г.  «30. &lt;етвЕРПм4lгаляш4г.  LXIII,  годъ. ","bulgarian","bulgarian-iso8859_5"
"20","ekmteataja","ekmteataja19040603.2.2","Эстляндские губернские ведомости  № 23. ЧЕТВЕРГЪ, 3 IЮНЯ 1904 г.  JUs 23. ЧЕТВЕРГЪ, 3 IЮНЯ 1904 г.  ьш  годъ. ","bulgarian","bulgarian-iso8859_5"
"21","livzeitung","livzeitung18721229.2.2","Оффициальная Часть.  Officieller Theil.  Местный Отделъ. Locale Abtheilung. ","english","english"
"22","livzeitung","livzeitung18630529.2.10","Officieller Theil.  ЧАСТЬ ОФФИЦИАЛЬНАЯ.  Locale Abtheilung.  Отделъ местный. ","english","english"
"23","livzeitung","livzeitung18550523.2.3","ЧАСТЬ ОФФИЦИАЛЬНАЯ.  Officieller Theil.  Отделъ местный.  Locale Abtheilung. ","english","english"
"24","livzeitung","livzeitung18710407.2.2","Оффициальная Часть.  Officieller Theil.  Местный Отделъ. Locale Abtheilung. ","english","english"
"25","livzeitung","livzeitung18700717.2.2","Оффициальная Часть.  Officieller Theil.  Местный Отделъ.  Locale Abtheilung. ","english","english"
"26","livzeitung","livzeitung18690606.2.2","Оффициальная Часть.  Officieller Theil.  Местный Отделъ.  Locale Abtheilung. ","english","english"
"27","ekmteataja","ekmteataja18531221.2.5","II. НЕОФФИЦИАЛЬНАЯ ЧАСТЬ.  II. Nichtofficieller Theil. ","english","english"
"28","livzeitung","livzeitung18560924.2.9","ЧАСТЬ ОФФИЦИАЛЬНАЯ.  Отделъ местный.  Officieller Theil.  Locale Abtheilung. ","english","english"
"29","livzeitung","livzeitung18720204.2.2","Оффициальная Часть.  Officieller Theil.  Местный Отделъ.  Locale Abtheilung. ","english","english"
"30","livzeitung","livzeitung18721002.2.2","Оффициальная Часть.  Officieller Theil.  Местный Отделъ.  Locale Abtheilung. ","english","english"
